ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
GOOG
META
AVGO
TSLA
COST
NFLX
PEP
ADBE
CSCO
TMUS
AMD
INTC
QCOM
TXN
AMGN
INTU
HON
AMAT
SBUX
GILD
ISRG
BKNG
ADI
LRCX
PANW
MDLZ
VRTX
REGN
MU
MELI
PDD
SNPS
CDNS
KLAC
MNST
MAR
CTAS
ASML
ADP
CHTR
CSX
CPRT
PYPL
ORLY
ABNB
AEP
AZN
KDP
NXPI
ROST
MRVL
FTNT
PCAR
WDAY
ODFL
XEL
PAYX
MCHP
EXC
FAST
EA
IDXX
CTSH
BIIB
TEAM
VRSK
BKR
FANG
CCEP
GEHC
DDOG
ZS
CRWD
MDB
ANSS
ON
LULU
KHC
DXCM
ILMN
WBD
GFS
TTD
SIRI
AAL
UAL
RIVN
LCID
APP
SMCI
ARM
LIN
CEG
ENPH
CVNA
